timestamp,open,high,low,close
2026-03-02,0.70804,0.71168,0.70314,0.71043
2026-03-03,0.71042,0.71218,0.69452,0.70441
2026-03-04,0.7044,0.70831,0.69864,0.70828
2026-03-05,0.70828,0.70888,0.69743,0.69809
2026-03-06,0.69812,0.70467,0.69789,0.70258
2026-03-07,0.70259,0.70359,0.7015,0.703
2026-03-08,0.70301,0.70355,0.69806,0.70031
2026-03-09,0.70032,0.70815,0.69573,0.70699
2026-03-10,0.70699,0.71691,0.70542,0.71195
2026-03-11,0.71194,0.71862,0.71132,0.71553
2026-03-12,0.71555,0.71609,0.70732,0.70781
2026-03-13,0.7078,0.70928,0.69907,0.69913
2026-03-14,0.69913,0.70466,0.69507,0.69815
2026-03-15,0.69815,0.70039,0.69556,0.69869
2026-03-16,0.6987,0.70803,0.69822,0.70728
2026-03-17,0.70728,0.71175,0.70498,0.71033
2026-03-18,0.71033,0.7124,0.70347,0.70361
2026-03-19,0.7036,0.71089,0.70007,0.70832
2026-03-20,0.70831,0.7096,0.70062,0.70171
2026-03-21,0.7017,0.70522,0.70154,0.70234
2026-03-22,0.70233,0.70435,0.69997,0.70097
2026-03-23,0.70097,0.70602,0.69117,0.7012
2026-03-24,0.70118,0.70213,0.69401,0.69684
2026-03-25,0.69683,0.70103,0.69432,0.69483
2026-03-26,0.69482,0.69571,0.68775,0.68775
2026-03-27,0.68774,0.69113,0.68649,0.68748
2026-03-28,0.68747,0.69136,0.68661,0.68776
2026-03-29,0.68774,0.6896,0.68673,0.68707
2026-03-30,0.68705,0.68758,0.68347,0.68488
2026-03-31,0.68485,0.69015,0.6835,0.69003
